日期,股票,收盤價
2026-03-24,GS,835.719970703125
2026-03-25,GS,841.8400268554688
2026-03-26,GS,822.6400146484375
2026-02-27,LMT,654.6300048828125
2026-03-02,LMT,676.7000122070312
2026-03-03,LMT,667.8200073242188
2026-03-04,LMT,664.47998046875
2026-03-05,LMT,655.0
2026-03-06,LMT,671.77001953125
2026-03-09,LMT,664.1500244140625
2026-03-10,LMT,651.219970703125
2026-03-11,LMT,649.469970703125
2026-03-12,LMT,652.8300170898438
2026-03-13,LMT,646.0
2026-03-16,LMT,645.2000122070312
2026-03-17,LMT,636.3300170898438
2026-03-18,LMT,642.280029296875
2026-03-19,LMT,637.510009765625
2026-03-20,LMT,627.4299926757812
2026-03-23,LMT,616.25
2026-03-24,LMT,610.1699829101562
2026-03-25,LMT,624.2000122070312
2026-03-26,LMT,627.3300170898438
2026-02-27,BA,227.52999877929688
2026-03-02,BA,229.74000549316406
2026-03-03,BA,224.1199951171875
2026-03-04,BA,227.30999755859375
2026-03-05,BA,222.05999755859375
2026-03-06,BA,231.11000061035156
2026-03-09,BA,225.0
2026-03-10,BA,217.75999450683594
2026-03-11,BA,214.10000610351562
2026-03-12,BA,204.75999450683594
2026-03-13,BA,209.88999938964844
2026-03-16,BA,213.47000122070312
2026-03-17,BA,210.82000732421875
2026-03-18,BA,205.99000549316406
2026-03-19,BA,201.17999267578125
2026-03-20,BA,195.1199951171875
2026-03-23,BA,198.41000366210938
2026-03-24,BA,196.4199981689453
2026-03-25,BA,199.61000061035156
2026-03-26,BA,194.36000061035156
2026-02-27,TSLA,402.510009765625
2026-03-02,TSLA,403.32000732421875
2026-03-03,TSLA,392.42999267578125
2026-03-04,TSLA,405.94000244140625
2026-03-05,TSLA,405.54998779296875
2026-03-06,TSLA,396.7300109863281
2026-03-09,TSLA,398.67999267578125
2026-03-10,TSLA,399.239990234375
2026-03-11,TSLA,407.82000732421875
2026-03-12,TSLA,395.010009765625
2026-03-13,TSLA,391.20001220703125
2026-03-16,TSLA,395.55999755859375
2026-03-17,TSLA,399.2699890136719
2026-03-18,TSLA,392.7799987792969
2026-03-19,TSLA,380.29998779296875
2026-03-20,TSLA,367.9599914550781
2026-03-23,TSLA,380.8500061035156
2026-03-24,TSLA,383.0299987792969
2026-03-25,TSLA,385.95001220703125
2026-03-26,TSLA,372.1099853515625
2026-02-27,^DJI,48977.921875
2026-03-02,^DJI,48904.78125
2026-03-03,^DJI,48501.26953125
2026-03-04,^DJI,48739.41015625
2026-03-05,^DJI,47954.73828125
2026-03-06,^DJI,47501.55078125
2026-03-09,^DJI,47740.80078125
2026-03-10,^DJI,47706.51171875
2026-03-11,^DJI,47417.26953125
2026-03-12,^DJI,46677.8515625
2026-03-13,^DJI,46558.46875
2026-03-16,^DJI,46946.41015625
2026-03-17,^DJI,46993.26171875
2026-03-18,^DJI,46225.1484375
2026-03-19,^DJI,46021.4296875
2026-03-20,^DJI,45577.46875
2026-03-23,^DJI,46208.46875
2026-03-24,^DJI,46124.05859375
2026-03-25,^DJI,46429.48828125
2026-03-26,^DJI,45960.109375
